Unnamed: 0,ticker,security,industry,subindustry,headquarters,added,founded,marketCap
397.0,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,,62474199040.0
398.0,RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,,10479706112.0
399.0,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,,27066068992.0
400.0,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,,29286590464.0
401.0,RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,,6042963456.0
402.0,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1903,26198231040.0
403.0,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,1948,15955697664.0
404.0,ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,,43352940544.0
405.0,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,,30666240000.0
406.0,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,,10907355136.0
407.0,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,1917,84307771392.0
408.0,CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",2008-09-15,,169829000000.0
409.0,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,,33340153856.0
410.0,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,1926,27034540032.0
411.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,,12328264704.0
